"code","country","wave","F115","F116","F117","F118","F119","F120","F121","F122","F123","X049","c2","c3","name"
246,"FI",3,2.29483282674772,2.54204660587639,1.40526849037487,4.23606889564336,3.33535967578521,4.7983789260385,6.28774062816616,5.62208713272543,2.88145896656535,5,"FI"," FIN"," FINLAND"
246,"FI",5,2.27712031558185,2.13510848126233,1.59270216962525,5.69132149901381,3.09171597633136,5.37475345167653,6.66173570019724,5.6301775147929,3.17159763313609,5,"FI"," FIN"," FINLAND"
250,"FR",5,2.82717282717283,2.81418581418581,2.18081918081918,6.3966033966034,3.30769230769231,6.40559440559441,6.82017982017982,6.68931068931069,3.66433566433566,5.02397602397602,"FR"," FRA"," FRANCE"
276,"DE",3,3.08193484698914,2.94076999012833,1.88598223099704,6.38252714708786,5.13919052319842,5.44175715695953,6.80651530108588,5,4.47235932872655,4.7847976307996,"DE"," DEU"," GERMANY"
276,"DE",5,2.1734496124031,2.0843023255814,1.66472868217054,5.87354651162791,4.02374031007752,4.72771317829457,6.22722868217054,4.1390503875969,3.04748062015504,4.38323643410853,"DE"," DEU"," GERMANY"
276,"DE",6,1.81671554252199,5,1.59433040078201,5.83088954056696,4.05474095796676,4.63391984359726,6.33822091886608,5,3.11436950146628,4.67155425219941,"DE"," DEU"," GERMANY"
344,"HK",5,2.0279552715655,1.91613418530351,1.73242811501597,3.55351437699681,3.09504792332268,3.43290734824281,4.66693290734824,5.19329073482428,2.23402555910543,5,"HK"," HKG"," HONG KONG"
344,"HK",6,2.751,2.032,1.912,4.185,2.953,3.226,4.522,4.964,2.758,5,"HK"," HKG"," HONG KONG"
356,"IN",2,1.4352,1.4456,1.3912,1.0824,1.48,3.3336,2.6604,3.1144,1.5624,5.7492,"IN"," IND"," INDIA"
356,"IN",3,1.49852941176471,1.5343137254902,1.47303921568627,1.47254901960784,1.73088235294118,2.39901960784314,2.87745098039216,2.48970588235294,1.7093137254902,4.55343137254902,"IN"," IND"," INDIA"
